Schlüssel;Straftat;erfasste Fälle;Jahr
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;13660;2020
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;8044;2020
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;2609;2020
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;2;2020
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;3005;2020
218000;Raub zur Erlangung von Betäubungsmitteln;151;2020
218010;Raub zur Erlangung von Betäubungsmitteln § 249 StGB;44;2020
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln § 250 StGB;62;2020
218030;Raub mit Todesfolge zur Erlangung von Betäubungsmitteln § 251 StGB;0;2020
218050;Räuberische Erpressung zur Erlangung von Betäubungsmitteln § 255 StGB;45;2020
219000;Raubüberfälle in Wohnungen;2258;2020
219010;Raub in Wohnungen § 249 StGB;1038;2020
219020;Schwerer Raub in Wohnungen § 250 StGB;644;2020
219030;Raub mit Todesfolge in Wohnungen § 251 StGB;2;2020
219050;Räuberische Erpressung in Wohnungen § 255 StGB;574;2020
220000;Körperverletzung §§ 223-227, 229, 231 StGB;530087;2020
221000;Körperverletzung mit Todesfolge §§ 227, 231 StGB;91;2020
221010;Körperverletzung mit Todesfolge § 227 StGB;91;2020
221020;Beteiligung an einer Schlägerei mit Todesfolge § 231 StGB;0;2020
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;130453;2020
222010;Sonstige Tatörtlichkeit bei gefährlicher Körperverletzung § 224 StGB;74659;2020
222020;Sonstige Tatörtlichkeit bei schwerer Körperverletzung § 226 StGB;314;2020
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;13;2020
222040;Verstümmelung weiblicher Genitalien § 226a StGB;0;2020
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;55467;2020
222110;Gefährliche Körperverletzung § 224 StGB auf Straßen, Wegen oder Plätzen;55291;2020
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;148;2020
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;28;2020
223000;Misshandlung von Schutzbefohlenen § 225 StGB;4918;2020
223001;Misshandlung Schutzbefohlener ab 14 Jahren;1160;2020
