Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
143220;Verbreitung und Herstellung von Kinderpornographie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;5;1;3;2;3;1;1;0;2;0;0;0;2017
143230;Besitz oder sich Verschaffen von Kinderpornographie § 184b Abs. 3 StGB;240;224;195;146;135;129;145;173;82;92;81;52;2017
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornographischer Schriften § 184c StGB;99;100;83;99;88;67;86;59;80;82;56;45;2017
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornographie § 184c Abs. 1 StGB;54;54;50;61;52;40;51;41;55;45;32;28;2017
143511;Verbreitung von Jugendpornographie § 184c Abs. 1 Nr. 1 StGB;44;47;39;45;40;31;38;30;46;34;26;23;2017
143512;Besitzverschaffung für andere von Jugendpornographie § 184c Abs. 1 Nr. 2 StGB;2;2;2;4;4;2;1;3;5;3;0;0;2017
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornographie § 184c Abs. 1 Nr. 3 StGB;4;3;8;2;4;2;5;5;3;1;1;4;2017
143514;Herstellung mit Verbreitungsabsicht von Jugendpornographie § 184c Abs. 1 Nr. 4 StGB;4;2;1;10;4;5;7;3;1;7;5;1;2017
143520;Verbreitung und Herstellung von Jugendpornographie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;0;3;0;0;0;1;2;0;1;0;0;0;2017
143530;Besitz oder sich Verschaffen von Jugendpornographie § 184c Abs. 3 StGB;45;43;33;38;36;26;33;18;24;37;24;17;2017
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;59515;61440;64874;62073;72149;70460;71737;66678;64194;64271;57161;56408;2017
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3049;3125;3277;2890;3129;3032;3169;3010;3079;3161;2973;2805;2017
210010;Sonstiger Raub § 249 StGB;190;221;186;234;255;225;241;224;243;246;245;245;2017
210020;Sonstiger schwerer Raub § 250 StGB;83;81;94;76;64;68;84;70;61;95;96;104;2017
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
210040;Räuberischer Diebstahl § 252 StGB;673;662;726;626;679;730;749;714;729;699;705;640;2017
210050;Sonstige räuberische Erpressung § 255 StGB;196;199;265;155;199;192;191;169;166;195;232;165;2017
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;7;15;13;9;11;6;8;12;9;3;9;6;2017
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);3;8;12;4;7;6;5;9;3;1;6;5;2017
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;0;1;0;0;1;0;1;0;0;0;0;1;2017
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;2;3;2;2;3;2;2;3;1;0;1;2;2017
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;1;4;10;2;3;4;2;6;2;1;5;2;2017
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;4;7;1;5;4;0;3;3;6;2;3;1;2017
211210;Raub auf Postfilialen und -agenturen § 249 StGB;1;0;0;1;0;0;1;0;0;0;0;0;2017
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;1;5;1;1;4;0;1;1;2;0;3;0;2017
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;2;2;0;3;0;0;1;2;4;2;0;1;2017
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;300;334;283;185;199;182;164;188;183;177;237;240;2017
